appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
3050241_10003,3050241,10003,1003,1003,2018-10-06,Wes Morgan,GB1,2,0,0,0,63
2578271_131996,2578271,131996,631,289,2016-04-16,Bertrand Traoré,GB1,0,0,0,0,20
3592157_324358,3592157,324358,405,405,2022-03-19,Ollie Watkins,GB1,0,0,0,0,82
3450998_15956,3450998,15956,368,368,2020-11-07,Jesús Navas,ES1,0,0,0,0,45
3451080_338285,3451080,338285,621,1049,2021-03-10,Unai Núñez,ES1,0,0,0,0,90
2475434_121990,2475434,121990,3302,11,2015-03-07,Wellington Silva,ES1,0,0,0,0,87
2578148_66100,2578148,66100,180,12321,2016-02-27,Oriol Romeu,GB1,0,0,0,0,90
3219284_38145,3219284,38145,1010,1010,2019-12-26,Adrian Mariappa,GB1,0,0,0,0,90
3081087_448344,3081087,448344,714,16795,2019-04-24,Óscar Melendo,ES1,0,0,0,0,90
2872377_177476,2872377,177476,989,281,2018-02-11,Nathan Aké,GB1,0,0,0,0,90
3451001_7663,3451001,7663,150,150,2020-11-23,Joaquín,ES1,0,0,0,0,71
3219146_181579,3219146,181579,180,1132,2020-07-19,James Ward-Prowse,GB1,1,0,0,0,90
3838783_29692,3838783,29692,379,379,2023-01-21,Lukasz Fabianski,GB1,0,0,0,0,90
2486789_44792,2486789,44792,11,984,2015-05-20,Kieran Gibbs,GB1,0,0,0,0,90
4113143_81999,4113143,81999,418,418,2023-10-21,Joselu,ES1,0,0,0,0,11
3592304_468002,3592304,468002,379,677,2022-01-01,Ben Johnson,GB1,1,0,0,0,45
2594661_71559,2594661,71559,621,3709,2016-01-17,Xabi Etxeita,ES1,0,0,0,0,90
4095211_146310,4095211,146310,31,31,2023-12-03,Wataru Endo,GB1,0,0,1,0,7
2719082_44735,2719082,44735,472,472,2017-05-20,Aythami Artiles,ES1,0,0,0,0,90
3429866_251912,3429866,251912,984,3008,2021-05-23,Semi Ajayi,GB1,0,0,0,0,90
3592187_583189,3592187,583189,985,762,2022-05-07,Anthony Elanga,GB1,0,0,0,0,45
2718718_225020,2718718,225020,418,1108,2016-08-27,Mariano Díaz,ES1,0,0,0,0,13
3079371_121483,3079371,121483,13,13,2018-09-15,Jan Oblak,ES1,0,0,0,0,90
3219071_314353,3219071,314353,31,418,2019-09-22,Trent Alexander-Arnold,GB1,1,0,1,0,90
3451378_118997,3451378,118997,3368,331,2021-03-19,Aitor Fernández,ES1,0,0,0,0,90
2486727_66219,2486727,66219,2288,2288,2015-02-21,Kyle Naughton,GB1,0,0,0,0,90
2718733_221322,2718733,221322,1049,1049,2016-09-11,José Gayà,ES1,0,0,0,0,45
3583521_73484,3583521,73484,1010,1010,2021-08-21,Tom Cleverley,GB1,0,0,0,0,90
3080817_199369,3080817,199369,681,472,2019-02-25,Sandro Ramírez,ES1,0,0,0,0,90
4095264_123682,4095264,123682,762,379,2023-12-26,Callum Wilson,GB1,0,0,0,0,35
3605285_225015,3605285,225015,2687,2687,2021-09-26,Carlos Akapo,ES1,0,0,0,0,77
4095163_236490,4095163,236490,703,703,2023-10-21,Ola Aina,GB1,0,0,0,0,2
2486795_67355,2486795,67355,2288,29,2015-04-18,Ashley Williams,GB1,0,0,0,0,90
3451029_568157,3451029,568157,1050,873,2020-12-06,Yéremy Pino,ES1,0,0,0,0,12
2594709_188838,2594709,188838,150,366,2016-02-13,Bruno González,ES1,0,0,0,0,90
3837819_487465,3837819,487465,543,631,2022-08-06,Pedro Neto,GB1,0,0,0,0,90
3886494_111961,3886494,111961,368,368,2023-01-14,Suso,ES1,0,0,0,0,10
2718778_73250,2718778,73250,1050,1050,2016-10-16,Mario Gaspar,ES1,0,0,0,0,90
2578021_34409,2578021,34409,873,873,2015-11-08,Joe Ledley,GB1,0,0,0,0,11
2698370_76799,2698370,76799,1010,1010,2017-05-01,Miguel Britos,GB1,0,0,0,0,19
2698360_61592,2698360,61592,873,873,2017-05-14,James Tomkins,GB1,0,0,0,0,86
2872207_209212,2872207,209212,1237,1237,2017-10-29,Solly March,GB1,0,0,0,0,3
3219184_333014,3219184,333014,350,931,2020-06-24,Sander Berge,GB1,0,0,0,0,45
2594624_23338,2594624,23338,1533,1533,2015-12-19,Asier Riesgo,ES1,1,0,0,0,90
3605331_262939,3605331,262939,1531,237,2021-10-23,Johan Mojica,ES1,0,0,0,0,90
2698205_67416,2698205,67416,2288,405,2016-12-14,Neil Taylor,GB1,0,0,0,0,90
2486718_3467,2486718,3467,1039,1039,2015-02-10,Shaun Wright-Phillips,GB1,0,0,0,0,38
2697993_179451,2697993,179451,289,289,2016-08-13,Donald Love,GB1,1,0,0,0,90
2719082_65489,2719082,65489,472,472,2017-05-20,Javi Castellano,ES1,0,0,0,0,45
4095190_472423,4095190,472423,631,631,2023-11-12,Reece James,GB1,0,0,0,1,64
3210097_789328,3210097,789328,1244,1244,2020-06-30,Manu Garrido,ES1,1,0,0,0,10
2578134_248045,2578134,248045,289,289,2016-02-06,Duncan Watmore,GB1,0,0,0,0,26
2578101_183318,2578101,183318,762,762,2016-01-16,Jamaal Lascelles,GB1,0,0,0,0,1
3050461_57842,3050461,57842,1110,1110,2019-03-09,Christopher Schindler,GB1,0,0,0,0,90
3605220_213670,3605220,213670,331,331,2021-09-23,Lucas Torró,ES1,0,0,0,0,85
3611444_357162,3611444,357162,3709,1132,2022-04-09,Florentino,ES1,0,0,0,0,16
2718890_175449,2718890,175449,2448,331,2017-01-22,Moi Gómez,ES1,0,0,0,0,29
3050480_26399,3050480,26399,281,131,2019-04-24,Sergio Agüero,GB1,0,0,0,0,89
2486770_57229,2486770,57229,148,131,2015-04-05,Paulinho,GB1,0,0,0,0,90
2594577_62945,2594577,62945,2448,2687,2015-11-08,Luis Hernández,ES1,0,0,0,0,90
3886682_112515,3886682,112515,131,940,2023-05-20,Marcos Alonso,ES1,1,0,0,0,45
2899598_230784,2899598,230784,13,1050,2017-09-20,Thomas Partey,ES1,1,0,0,0,90
2899813_70245,2899813,70245,1084,16795,2018-03-18,Ignasi Miquel,ES1,0,0,0,0,90
3451015_138935,3451015,138935,1533,1533,2020-11-30,Sergio Álvarez,ES1,0,0,0,0,1
2899602_221322,2899602,221322,1049,1049,2017-09-24,José Gayà,ES1,1,0,0,0,75
4095192_451276,4095192,451276,31,31,2023-11-12,Dominik Szoboszlai,GB1,0,0,0,0,90
4113093_74294,4113093,74294,368,368,2023-08-26,Nemanja Gudelj,ES1,0,0,1,0,90
3219295_321247,3219295,321247,1123,405,2019-12-26,Emiliano Buendía,GB1,0,0,0,0,75
2899742_338285,2899742,338285,621,1049,2018-01-14,Unai Núñez,ES1,0,0,0,0,90
2872325_5658,2872325,5658,11,11,2018-01-03,Petr Cech,GB1,0,0,0,0,90
3050185_158623,3050185,158623,931,931,2018-08-18,Cyrus Christie,GB1,0,0,0,0,5
3050456_263856,3050456,263856,603,150,2019-03-02,Víctor Camarasa,GB1,0,0,0,0,90
2899774_51510,2899774,51510,3709,237,2018-02-19,Ángel Rodríguez,ES1,0,0,2,1,90
3605307_95810,3605307,95810,13,762,2021-12-22,Kieran Trippier,ES1,0,0,0,0,90
4095275_661053,4095275,661053,29,29,2023-12-30,Jarrad Branthwaite,GB1,0,0,0,0,90
3886471_568157,3886471,568157,1050,873,2022-12-31,Yéremy Pino,ES1,0,0,0,0,72
2486781_14086,2486781,14086,985,29,2015-04-12,Ashley Young,GB1,0,0,1,2,90
3886688_85295,3886688,85295,367,367,2023-05-21,Iván Balliu,ES1,0,0,0,0,90
2899671_188854,2899671,188854,1050,1050,2017-11-26,Manu Trigueros,ES1,0,0,0,0,84
3837993_503749,3837993,503749,405,762,2023-04-04,Jacob Ramsey,GB1,0,0,0,0,79
2719056_126737,2719056,126737,681,3709,2017-04-29,Juanmi,ES1,0,0,1,0,90
2718959_126252,2718959,126252,331,331,2017-03-05,Juan Rafael Fuentes,ES1,0,0,0,0,90
2486689_9619,2486689,9619,405,405,2015-02-01,Alan Hutton,GB1,0,0,0,0,90
2594783_18944,2594783,18944,131,131,2016-04-09,Gerard Piqué,ES1,1,0,0,0,90
2475431_7922,2475431,7922,714,714,2015-03-08,Sergio García,ES1,0,0,0,0,90
3838696_183293,3838696,183293,989,989,2023-04-08,Joe Rothwell,GB1,1,0,0,0,59
2719086_154059,2719086,154059,1084,1533,2017-05-21,Charles,ES1,0,0,0,0,21
2872413_13572,2872413,13572,984,1010,2018-03-10,Ben Foster,GB1,0,0,0,0,90
3219294_234803,3219294,234803,31,31,2019-12-29,Andrew Robertson,GB1,0,0,0,0,90
4113086_442805,4113086,442805,3302,3302,2023-11-11,Iddrisu Baba,ES1,0,0,0,0,3
3431934_254037,3431934,254037,2687,2687,2020-10-01,Iza Carcelén,ES1,0,0,0,0,90
2486825_85177,2486825,85177,180,873,2015-05-09,Nathaniel Clyne,GB1,0,0,0,0,90
2718791_51474,2718791,51474,621,5358,2016-10-23,Mikel Rico,ES1,0,0,0,0,90
4095193_649452,4095193,649452,1031,281,2023-11-11,Issa Kaboré,GB1,1,0,0,0,86
3050245_55742,3050245,55742,603,703,2018-10-06,Harry Arter,GB1,1,0,0,0,90
3838713_340321,3838713,340321,1148,1148,2023-03-18,Josh Dasilva,GB1,0,0,0,0,29
2872186_102258,2872186,102258,1132,1132,2017-10-14,Matthew Lowton,GB1,0,0,0,0,90
3837853_487465,3837853,487465,543,631,2022-08-28,Pedro Neto,GB1,1,0,0,0,84
